District,Number of deaths,Number of injured,Number of missing people,Number of rescued people,Reason of death,Flood/landslide
Jhapa,2,0,1,,While crossing the river,Flood
Ilam,1,0,3,,While crossing the river,Landslide
Panchthar,0,0,1,,Swept away by river,Landslide
Taplejung,,,,,,
Morang,0,0,3,,While crossing the river,Flood
Sunsari,1,2,1,1,Died when the river flooding while fishing,Flood
Dhankuta,0,3,,,House got buried,Landslide
Tehrathum,,,,,,
Bhojpur,5,2,0,,House got buried,Landslide
Sankhuwasabha,,,,,,
Saptari,0,0,0,25,House,Flood
Siraha,1,0,1,2,Swept by river,Flood
Udayapur,1,0,1,10,Triyuga river carried down a body,Flood
Khotang,3,1,0,1,House swept,Landslide
Okhaldhunga,4,0,0,,House got buried,Landslide
Solukhumbu,,,,,,
Kathmandu,3,1,1,185,School wall fell,Flood
Bhaktapur,0,1,0,1,Swept by river,Flood
Lalitpur,5,3,1,8,House cowshed fell,Flood
Nuwakot,,,,,,
Dhading,2,1,1,,While crossing the river,Flood
Rasuwa,,,,,,
Kavrepalanchok,3,2,0,,School wall and house fell,Landslide
Sindhupalchok,,,,,,
Dhanusa,2,0,1,,Two unindentified bodied found floating on the water,Flood
Dolakha,0,1,0,0,Landslide swept away truck,Landslide
Mahottari,1,0,1,500,One child died while crossing river in Bhangal Municipality - 4,Flood
Ramechhap,1,1,0,,Damaged cowshed,Landslide
Sarlahi,0,0,0,100,House,Flood
Sindhuli,3,2,5,70,River,Landslide
Bara,2,0,0,,Drowned in a pit full of water,Flood
Chitwan,1,1,0,,While crossing the river,Landslide
Makwanpur,3,4,,1,"Buried, fell through cliff",Landslide
Parsa,1,0,1,,While crossing the river,Flood
Rautahat,1,0,1,200,Swept by river,Flood
Baglung,,,,,,
Mustang,,,,,,
Myagdi,,,,,,
Parbat,,,,,,
Gorkha,,,,,,
Kaski,,,,,,
Lamjung,,,,,,
Manang,,,,,,
Syangja,,,,,,
Tanahu,,,,,,
Arghakhanchi,,,,,,
Gulmi,,,,,,
Kapilbastu,,,,,,
Nawalparasi,,,,,,
Palpa,1,0,0,0,Landslide swept,Landslide
Rupandehi,,,,,,
Banke,,,,,,
Bardiya,,,,,,
Dailekh,,,,,,
Jajarkot,,,,,,
Surkhet,,,,,,
Dolpa,2,0,7,0,Drowned by flooded Kasil river,Flood/Landslide
Jumla,,,,,,
Dang,1,,0,,,
Pyuthan,,,,,,
Rolpa,,,,,,
Rukum,,,,,,
Kalikot,,,,,,
Mugu,,,,,,
Humla,,,,,,
Salyan,,,,,,
Kanchanpur,,,,,,
Dadeldhura,,,,,,
Baitadi,,,,,,
Darchula,,,,,,
Kailali,,,,,,
Achham,,,,,,
Doti,,,,,,
Bajura,,,,,,
Bajhang,,,,,,
